precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLORIAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU-SĂLĂJANU DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","CRIŞAN VALERIU-RADU-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PETER TEODOR-PARTIDUL MIȘCAREA POPULARĂ-voturi","SZILÁGYI RÓBERT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","STANCIU GHEORGHE-PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",597,491,0,86,20,406,300,0,86,20,389,17,540,134,166,186,10,12,5,10
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",288,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",834,815,0,7,12,426,407,0,7,12,417,9,918,492,18,20,1,5,369,4
33,SĂLAJ,"CAMIN CULTURAL",158,GÂLGĂU,141134,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",153,121,0,23,9,114,82,0,23,9,110,4,150,36,14,89,2,2,2,1
33,SĂLAJ,"CAMIN CULTURAL",156,GÂLGĂU,141134,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",394,370,0,18,6,235,211,0,18,6,229,6,400,165,42,158,6,18,0,5
33,SĂLAJ,"CĂMIN CULTURAL",285,ŞAMŞUD,142854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",941,907,0,3,31,483,449,0,3,31,463,20,1028,545,11,8,1,4,439,0
33,SĂLAJ,"CĂMIN CULTURAL AGRIJ",65,AGRIJ,139937,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",836,807,1,12,16,548,520,0,12,16,514,34,880,332,201,220,17,21,3,52
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",373,361,0,6,6,236,225,0,6,5,217,19,400,164,91,101,4,15,4,2
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",187,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",792,731,0,38,23,519,458,0,38,23,494,25,810,291,207,111,31,20,114,11
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",414,325,0,88,1,287,198,0,88,1,280,7,400,113,142,116,12,6,0,4
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",101,BUCIUMI,140379,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",259,226,0,28,5,174,141,0,28,5,156,18,250,76,84,50,3,7,5,7
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",213,LOZNA,141884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",172,131,0,37,4,127,86,0,37,4,121,6,155,28,17,95,5,3,1,0
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",420,412,0,8,0,232,224,0,8,0,224,8,450,218,99,68,4,47,1,5
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",346,338,1,7,0,168,161,0,7,0,162,6,390,222,39,29,3,22,64,5
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",300,282,0,5,13,184,166,0,5,13,166,18,310,126,77,56,10,11,3,9
33,SĂLAJ,"CĂMINUL CULTURAL",165,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",113,87,0,25,1,80,54,0,25,1,73,7,89,9,40,14,5,10,1,3
33,SĂLAJ,"CĂMINUL CULTURAL",177,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",109,101,0,8,0,67,59,0,8,0,63,4,117,50,13,41,4,3,1,1
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",31,18,0,13,0,23,10,0,13,0,22,1,40,17,4,14,2,1,0,1
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",329,323,0,6,0,176,170,0,6,0,162,14,366,190,27,89,3,7,2,34
33,SĂLAJ,"CĂMINUL CULTURAL",183,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",116,98,0,18,0,57,39,0,18,0,50,7,108,51,8,40,0,0,0,2
33,SĂLAJ,"CĂMINUL CULTURAL",186,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",286,193,0,88,5,217,124,0,88,5,203,14,264,47,100,74,13,2,3,11
33,SĂLAJ,"CĂMINUL CULTURAL",201,IP,141722,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",233,225,0,3,5,151,143,0,3,5,148,3,287,136,69,63,14,0,1,1
33,SĂLAJ,"CĂMINUL CULTURAL",239,NUŞFALĂU,142239,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",333,319,0,8,6,163,149,0,8,6,153,10,400,237,16,7,1,1,127,1
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",74,59,0,12,3,47,32,0,12,3,41,6,70,23,7,12,1,3,17,1
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",210,197,0,5,8,144,131,0,5,8,136,8,228,84,5,4,0,0,127,0
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",279,SURDUC,142774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",260,202,0,44,14,211,153,0,44,14,201,10,238,27,91,89,5,10,0,6
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",164,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",160,145,0,12,3,94,79,0,12,3,77,2,163,84,26,32,5,7,2,5
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",550,497,0,15,38,400,347,0,15,38,382,18,540,140,122,142,7,81,2,28
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",432,420,0,6,6,233,221,0,6,6,227,6,470,237,15,51,0,4,156,1
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",226,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",610,544,0,51,15,442,376,0,51,15,418,24,595,153,134,25,18,14,225,2
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",268,262,0,4,2,145,139,0,4,2,138,7,295,150,4,6,1,6,120,1
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",53,43,0,10,0,34,24,0,10,0,33,1,50,16,8,14,1,4,3,3
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",248,PLOPIŞ,142337,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",521,507,0,6,8,250,236,0,6,8,225,25,594,344,43,151,5,7,2,17
33,SĂLAJ,"CĂMINUL CULTURAL FILDU DE MIJLOC",150,"FILDU DE JOS",141081,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",322,307,0,12,3,228,213,0,12,3,216,12,338,110,101,102,1,3,2,7
33,SĂLAJ,"CĂMINUL CULTURAL FIRMINIŞ",231,MIRŞID,142122,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",135,120,1,14,0,93,79,0,14,0,84,9,161,68,44,34,4,0,2,0
33,SĂLAJ,"CĂMINUL CULTURAL FIZEȘ",266,SÂG,142612,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",267,259,0,8,0,140,132,0,8,0,131,9,292,152,39,85,3,2,1,1
33,SĂLAJ,"CĂMINUL CULTURAL GĂLĂȘENI, NR.50",135,CUZĂPLAC,140869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",102,85,0,17,0,70,53,0,17,0,69,1,94,24,5,54,1,1,1,7
33,SĂLAJ,"CĂMINUL CULTURAL HĂȘMAȘ",295,ŞIMIŞNA,179695,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",224,205,0,14,5,152,133,0,14,5,138,14,250,98,101,30,0,3,3,1
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",479,465,1,11,2,299,285,1,11,2,294,5,530,231,76,136,14,36,20,12
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",274,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",500,465,0,10,25,367,332,0,10,25,351,16,540,172,61,267,3,6,1,13
33,SĂLAJ,"CĂMINUL CULTURAL JEBUCU",68,ALMAŞU,139982,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",316,282,1,24,9,259,226,0,24,9,254,5,315,56,6,11,16,1,216,4
33,SĂLAJ,"CĂMINUL CULTURAL MAL",267,SÂG,142612,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",936,923,0,13,0,561,548,0,13,0,500,61,1014,453,286,196,4,7,2,5
33,SĂLAJ,"CĂMINUL CULTURAL MOIAD",293,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",178,175,0,2,1,110,107,0,2,1,108,2,200,90,28,55,5,0,6,14
33,SĂLAJ,"CĂMINUL CULTURAL NAIMON",143,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",123,116,0,7,0,46,39,0,7,0,39,7,129,83,3,17,1,2,16,0
33,SĂLAJ,"CĂMINUL CULTURAL, NR.20",147,DRAGU,141027,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",46,17,0,29,0,35,6,0,29,0,34,1,41,6,10,20,1,2,0,1
33,SĂLAJ,"CĂMINUL CULTURAL PANIC",176,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",874,837,1,3,33,579,543,0,3,33,539,40,970,391,31,102,3,4,395,4
33,SĂLAJ,"CĂMINUL CULTURAL ”PETŐFI SÁNDOR”",114,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1887,1836,13,5,33,1125,1084,3,5,33,1091,34,2085,960,35,41,7,11,991,6
33,SĂLAJ,"CĂMINUL CULTURAL PETRINZEL",70,ALMAŞU,139982,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",103,91,0,12,0,61,49,0,12,0,56,5,100,39,7,8,1,0,38,2
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",246,PLOPIŞ,142337,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",827,784,1,17,25,501,459,0,17,25,450,51,899,398,74,240,11,55,1,69
33,SĂLAJ,"CĂMINUL CULTURAL RECEA",304,VÂRŞOLŢ,143021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",484,434,0,28,22,313,263,0,28,22,290,23,508,195,89,98,12,29,51,11
33,SĂLAJ,"CĂMINUL CULTURAL RUGINOASA, NR.22",138,CUZĂPLAC,140869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",83,70,0,13,0,44,31,0,13,0,44,0,77,33,9,28,0,2,2,3
33,SĂLAJ,"CĂMINUL CULTURAL SÂNCRAIU ALMAȘULUI",313,ZIMBOR,143147,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",95,84,0,11,0,95,84,0,11,0,86,9,160,65,18,47,4,13,3,1
33,SĂLAJ,"CĂMINUL CULTURAL ȘOIMUȘ",275,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",272,251,0,12,9,147,126,0,12,9,140,7,290,143,77,56,3,3,0,1
33,SĂLAJ,"CĂMINUL CULTURAL SOLONA",281,SURDUC,142774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",226,189,0,26,11,158,121,0,26,11,153,5,204,46,64,72,2,11,2,2
33,SĂLAJ,"CĂMINUL CULTURAL SOMEȘ-ODORHEI",273,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1093,1049,4,8,32,687,647,0,8,32,650,37,1220,533,258,286,4,44,9,49
33,SĂLAJ,"CĂMINUL CULTURAL STANA",71,ALMAŞU,139982,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",118,102,0,12,4,81,65,0,12,4,76,5,112,31,5,8,3,1,58,1
33,SĂLAJ,"CĂMINUL CULTURAL ŞUMAL",219,MARCA,141946,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",414,408,0,4,2,223,217,0,4,2,210,13,456,233,37,158,3,3,4,5
33,SĂLAJ,"CĂMINUL CULTURAL SURDUC",278,SURDUC,142774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1171,1079,2,59,31,796,705,1,59,31,754,42,1190,394,333,361,7,34,7,12
33,SĂLAJ,"CĂMINUL CULTURAL SUTORU",311,ZIMBOR,143147,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",114,103,1,10,0,80,69,1,10,0,74,6,120,40,7,56,5,4,1,1
33,SĂLAJ,"CĂMINUL CULTURAL TEȘTIOARA",282,SURDUC,142774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",83,61,0,18,4,55,33,0,18,4,55,0,68,13,24,24,2,4,1,0
33,SĂLAJ,"CĂMINUL CULTURAL TIHĂU",283,SURDUC,142774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",945,844,0,57,44,666,565,0,57,44,645,19,974,310,187,359,5,62,13,19
33,SĂLAJ,"CĂMINUL CULTURAL TUSA",269,SÂG,142612,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",553,549,0,4,0,308,304,0,4,0,279,29,610,302,136,123,3,2,2,13
33,SĂLAJ,"CĂMINUL CULTURAL ZĂUAN",202,IP,141722,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",831,817,5,9,0,415,406,0,9,0,392,23,899,484,11,19,1,1,359,1
33,SĂLAJ,"CASA DE CULTURĂ",47,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1751,1730,11,9,1,735,725,0,9,1,724,11,1980,1245,343,209,25,81,45,21
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1882,1846,7,18,11,789,760,0,18,11,772,17,2078,1289,189,220,16,15,292,40
33,SĂLAJ,"CENTRU DE INFORMARE ȘI MARKETING TURISTIC",245,PERICEI,142284,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",146,136,0,10,0,70,60,0,10,0,63,7,150,80,22,17,17,2,4,1
33,SĂLAJ,"CENTRU DE INFORMARE TURISTICA",115,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1827,1784,5,12,26,1090,1052,1,12,25,1034,56,1970,880,17,45,5,3,962,2
33,SĂLAJ,"CENTRUL AFTER SCHOOL",227,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1273,1208,4,34,27,750,689,0,34,27,694,56,1324,574,73,205,187,18,192,19
33,SĂLAJ,"CENTRUL CULTURAL",58,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1454,1442,1,11,0,648,637,0,11,0,630,18,1602,954,99,297,15,16,181,22
33,SĂLAJ,"CENTRUL CULTURAL COMUNITAR ȘĂRMĂȘAG",287,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",964,910,2,5,47,550,514,0,5,31,542,8,1052,502,10,11,0,1,518,2
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",608,585,0,8,15,300,277,0,8,15,281,19,647,347,48,200,4,5,1,23
33,SĂLAJ,"CENTRUL DE INFORMARE ȘI MARKETING TURISTIC",251,ROMÂNAŞI,142426,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",484,458,0,7,19,484,458,0,7,19,442,42,900,416,130,281,5,12,0,14
33,SĂLAJ,"CENTRUL DE INFORMARE ŞI PROMOVARE TURISTICĂ VALEA POMILOR",286,ŞAMŞUD,142854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",470,448,0,1,21,225,203,0,1,21,208,17,500,275,5,5,1,12,185,0
33,SĂLAJ,"CENTRUL DE INFORMARE TURISTICĂ",240,NUŞFALĂU,142239,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1321,1309,5,0,7,662,654,1,0,7,570,92,1400,738,140,146,11,5,265,3
33,SĂLAJ,"CENTRUL DE ZI",229,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",722,664,0,41,17,430,372,0,41,17,397,33,701,271,201,135,27,13,11,10
33,SĂLAJ,"CENTRUL DE ZI DOBA",142,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",238,227,1,8,2,144,133,1,8,2,134,10,255,111,0,2,2,3,126,1
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",117,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",742,735,1,6,0,278,272,0,6,0,269,9,813,535,77,155,11,4,8,14
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",118,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",416,400,0,13,3,208,192,0,13,3,177,31,465,257,31,20,3,5,111,7
